;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
57496;LABORATOIRE ROMAND DENDROCHRON;70019;GSR FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
57519;SWISSAUDEC;51575;FIDACOR;ENT;G;30.04.2010;31.12.2014;;;;021 804'88'04;;;;;;
57572;MIXAGE IMMO CONCEPT;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
57615;BUENA VISTA CONSULTING;12111;FIDUCIAIRE TAVIA TAIBO;ETA;G;01.01.2015;;;;;;;;;;;
57638;GERARD FAIVRE CONCEPT;36187;PRATEO CONSEIL;ENT;G;05.06.2010;31.12.2014;;;;;;;;;;
57638;GERARD FAIVRE CONCEPT;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
57668;AGABU;20617;BMT FIDUCIAIRE;ETA;G;01.01.2011;31.12.2014;;;;021 626'19'62;;;;;;
57698;ECOSYS;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
57751;PIERRE BLANCHE;67802;SWISS KEYS MANAGEMENT;ENT;G;01.01.2014;;;;;;;;;;;
57767;PROMCO;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
57825;IMMOLANGALLERIE;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
57909;PLATEIRES;70809;FIDUCIAIRE JOSE GIAVAZZI;ENT;G;01.01.2015;;;;;;;;;;;
57995;EGAL;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
58016;LUNCH PRIVE;1110;MCD CONSEIL;ENT;G;01.07.2010;31.12.2014;;;;021 706'53'10;;;;;;
58068;AUDIT GESTION CP;16682;FIDUSAR;ENT;G;01.01.2015;;;;;;;;;;;
58074;BALKANIA ESTATE;37962;LORALIE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
58081;KINETICS PROCESS CONSULTING;73260;BONFINA TREUHAND;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
58266;IMPRESSIONS GRAPHIQUES;53845;FIDELEX;ENT;G;01.01.2015;;;;;;;;;;;
58272;ALP FINANCIAL SERVICES;20870;SERGE BARRAUD CONSULTANT;ETA;G;01.01.2015;;;;;;;;;;;
58332;SAINT GERON SUISSE;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
58358;ECOLE MONTESSORI COTE;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;09.09.2010;31.12.2014;;;;022 364'76'00;;;;;;
58429;ALPHA COIFFURE;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
58495;DIADYS;23;HERVEST FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
58568;BELORADO;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
58708;EGERTON;36187;PRATEO CONSEIL;ENT;G;04.11.2010;31.12.2014;;;;;;;;;;
58708;EGERTON;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
58732;BOUTIQUE D;25358;ABACOMPTE STE FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
58738;PI CULTURAL EXCHANGE;21368;ROGER BENOIT CABINET FIDUCIAIR;ETA;G;01.01.2015;;;;;;;;;;;
58744;IGT GLOBAL SERVICES;36187;PRATEO CONSEIL;ENT;G;31.12.2012;31.12.2015;;;;021'721'08'60;;;;;;
58744;IGT GLOBAL SERVICES;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
58796;AVINA GOURMET;58490;DOROTHEE STUCKI FIDUCIAIRE;ENT;G;16.11.2010;31.12.2014;;;;;;;;;;
58872;2 KIDS;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
58879;INTER RELIURE INDUSTRIELLE;56989;FIDIMMOB;ENT;G;01.01.2015;;;;;;;;;;;
58916;SAVOYE MEUBLES SUISSE;1905;FIDUCIAIRE TURRIAN;ENT;G;01.01.2010;31.12.2014;;;DC;024 496'31'71;;;;;;
58942;THE SWISS INSTITUTE PM;825;FIDURBA;ENT;G;01.01.2015;;;;;;;;;;;
58972;R + M SCHENKEL;144;FIDUCIAIRE NEUENSCHWANDER;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
58975;DOMINARI HOLDING;13;FIDUCONSULT LAUSANNE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
58975;DOMINARI HOLDING;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
58992;CLAUDE JEANMAIRET;9274;FIDASOL;ENT;G;01.01.2015;;;;;;;;;;;
58998;ALEPHLINE;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;14.12.2010;;;;;;;;;;;
59002;NESTLE INSTITUTE HEALTH;21406;FIDUTRUST GESTION & CONSEILS;ENT;G;01.01.2012;31.12.2014;;;;026 425'84'84;;;;;;
59009;MULTIGRAPHIX;55650;FIDUCIAIRE & GESTION AYERS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
59027;ECOLE CIRQUE RENENS ASS;149;FIDUCIAIRE MAILLARD;ENT;G;01.01.2015;;;;;;;;;;;
59051;SEIO;5252;FIDUCIAIRE TURIN ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
59082;TERREAUX OSMANI;1690;ECOGEST HUBERT CORMINBOEUF;ETA;G;01.07.2010;31.12.2014;;;;;;;;;;
59108;CREA LOGIS;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
59119;CHINATMED;22365;AZ GESTION ALIYAH TAYFUR;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
59132;MEN;14790;MAZARS LAUSANNE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
59132;MEN;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
59141;MY MUSIC RICH;36187;PRATEO CONSEIL;ENT;G;01.01.2011;31.12.2014;;;;021 721'08'60;;;;;;
59141;MY MUSIC RICH;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
59207;HENRI HARSCH HH;13046;REVISIANA FIDUCIAIRE;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
59224;EMINO;70097;JFFIDUCIAIRE LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
59247;OIKOCREDIT ASSOCIATION;12620;FRI REVISION & INFORMATIQUE;ENT;G;01.01.2013;;;;;;;;;;;
59257;ASSOCIATION AMIS MONT MUSICAL;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2013;31.03.2015;;;;021 345'00'00;;;;;;
59281;VISIOTECH;9646;FIDUCIAIRE PAUX CONSEILS;ETA;G;01.01.2015;;;;;;;;;;;
59434;JL ACCESS;52209;FM BUREAU COMPTABLE;ENT;G;01.01.2015;;;;;;;;;;;
59483;REIS INOX & CONSTRUCTIONS;41953;FIDUCIAIRE PAUX;ENT;G;16.02.2011;;;;;021 803'73'11;;;;;;
59500;LIFESCI CONSULTING;58004;DRYS FIDUCIAIRE;ENT;G;17.02.2011;31.12.2014;;;;;;;;;;
59536;AUTOCHERCHE CH;2172;AA FIDU NYON;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
59547;BOAS CONSTRUCTION;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;23.02.2011;31.12.2014;;;;021 805'40'00;;;;;;
59547;BOAS CONSTRUCTION;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
59604;REST AT HOME;36187;PRATEO CONSEIL;ENT;G;01.03.2011;31.12.2015;;;;021 721'08'60;;;;;;
59604;REST AT HOME;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
59621;VALMONTIN;1101717;Anne Rieder;IND;G;01.01.2013;31.12.2014;;;;;;;;;;
59680;GFG GROUPE FINANCIER GESTION;32318;MONRIBOT JD CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
59729;BOX SOLUTIONS;58004;DRYS FIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;021 343'44'70;;;;;;
59800;PROBATIPLUS;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2012;31.12.2014;;;PP;022 365'59'59;;;;;;
59804;ETU ELECTRO TECHNIQUE;36689;GC ADMINISTRATION CONSEILS;ENT;G;29.03.2011;31.03.2015;;;;;;;;;;
59810;CARDINAUX ARCHITECTURE;17452;PROFIDUCIA CONSEILS;ETA;G;01.01.2014;31.12.2014;;;;021 654'37'20;;;;;;
59850;WYLESS GROUP HOLDING;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;021 641'60'60;;;;;;
59885;REGENCO MANAGEMENT;36187;PRATEO CONSEIL;ENT;G;07.04.2011;31.12.2015;;;;021 721'08'60;;;;;;
59885;REGENCO MANAGEMENT;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
59909;VALIMOB;1305;;ETA;G;11.04.2011;31.12.2014;;;;;;;;;;
59960;ORMA RIVIERA;45775;FIDUCIAIRE Y LANOIR & CIE;ENT;G;01.01.2015;;;;;;;;;;;
59973;FIDGESTIA;13164;JF CONSEIL THEVOZ;ETA;G;01.01.2015;;;;;;;;;;;
59985;TREND LINE;2059;CRF REVISION;ENT;G;01.01.2015;;;;;;;;;;;
59993;GOLFINO;60113;LALOBA CONSULT;ENT;G;01.01.2015;;;Frey;Stefanie;061 317'93'22;;;;;;
60023;JARDIN COSMIQUE IMMOBILIER;8106;KOHLI FIDUCIAIRE;ENT;G;18.04.2011;31.12.2014;;;;024 463'51'40;;;;;;
60023;JARDIN COSMIQUE IMMOBILIER;16522;BAUDVEVEY.COM;ETA;G;01.01.2015;;;;;;;;;;;
60034;REDZEPI PEINTURE;46901;OFFICE CONSULTANT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
60161;LABORATOIRE JARDIN COSMIQUE;16522;BAUDVEVEY.COM;ETA;G;01.01.2015;;;;;;;;;;;
60169;WIZNOO;24372;GEORGES BARRE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
60180;H2O LEMAN;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
60205;M&BD CONSULTING;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;31.12.2015;;;;021 310'73'73;;;;;;
60273;CARROSSERIE NIKLAUS;52;FIDUCIAIRE SCHICK;ENT;G;01.01.2011;31.12.2014;;;;021 701'33'31;;;;;;
60273;CARROSSERIE NIKLAUS;53242;E GESTION LEMAN;ENT;G;01.01.2015;;;;;;;;;;;
60297;IMMOBAT CONSTRUCTION;11258;FIDEURO;ENT;G;01.01.2012;31.12.2014;;;;021 311'50'00;;;;;;
60297;IMMOBAT CONSTRUCTION;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2015;;;;;;;;;;;
60304;WWW FLIPTRONIC CH;61703;PARADISIO;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
60305;LCIMMO LEMAN CONSEILS IMMO;60720;FIDURAM;ENT;G;01.01.2015;;;;;;;;;;;
60314;ROOM SERVICE;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
60377;MGM MEETING GARAGE MEZIERES;20986;CB FIDUCIAIRE CORINNE BOSSON;ETA;G;01.01.2015;;;Bosson;Corinne;;;;;;;
60394;BAUSAF;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
60405;TAPIS JAM;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2015;;;;;;;;;;;
60424;TRAMONTANA;7678;DV GESTION VALERIE DEWARRAT;ETA;G;01.01.2015;;;Dewarrat;Valérie;;;;;;;
60449;MACKY FLEURS;36187;PRATEO CONSEIL;ENT;G;22.06.2011;31.12.2015;;;;021 721'08'60;;;;;;
60449;MACKY FLEURS;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
60481;GLOBALMED SERVICES;45787;FIDUREV;ENT;G;01.01.2015;;;;;;;;;;;
60485;TROYFIN;36187;PRATEO CONSEIL;ENT;G;24.06.2011;31.12.2014;;;;;;;;;;
60536;EMS ILOT PARC;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;021 310'73'73;;;;;;
60548;PERROUD MANAGEMENT;58153;FIDUCIAIRE SOGESAL;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
60548;PERROUD MANAGEMENT;9440;MOORE STEPHENS REFIDAR NYON;ETA;G;01.01.2015;;;;;;;;;;;
60571;GESTION MCDE;38413;FIDUCIAIRE ANTONIADIS;ENT;G;01.07.2011;31.12.2014;;;;021 961'11'46;;;;;;
60571;GESTION MCDE;44717;FIDUCIAIRE MEICHTRY;ENT;G;01.01.2015;;;;;;;;;;;
60593;INDUSTRIAL ENGINEERING;36187;PRATEO CONSEIL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
60593;INDUSTRIAL ENGINEERING;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
60650;TRAD X HOLDING;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2013;31.12.2014;;;;058 792'81'00;;;;;;
60692;LOSINGER MARAZZI;67917;OMNITAX FISCALITE DROIT AFFAIR;ENT;G;01.01.2013;;;;;;;;;;;
60749;NET NETTOYAGE;52834;COGESTOR;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
60833;SWISSTO12;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2013;31.12.2014;;;;058 234'91'20;;;;;;
60869;CONCIL;63;AFIDUGERE;ENT;G;12.08.2011;31.12.2014;;;;;;;;;;
60938;ENDINE PROPERTIES;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
60959;SIDIN HOTEL;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
60959;SIDIN HOTEL;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
60966;VISIOSAFE;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
60973;SUISSE HYPOTHEQUE;56960;SP CONSEILS & GESTION;ENT;G;01.01.2015;;;;;;;;;;;
60985;MAXEL SUPPLY;56676;CHRYSTALLE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
60998;BIOAPPLY POLYMERS;30432;COMSERVICE;ENT;G;30.08.2011;31.12.2014;;;;022 320'11'10;022 320'11'71;;;;;
61093;RUI XIANG;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;22.07.2011;31.12.2014;;;;;;;;;;
61095;GOBELET;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
61163;AZ ALPHA;24018;FLURY BERATUNG TREUHAND;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
61164;AZ BETA;24018;FLURY BERATUNG TREUHAND;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
61165;KNOWLEDGE EXPERT;1960;FIDINTER;ENT;G;01.01.2013;31.12.2014;;;;021 614'61'61;;;;;;
61287;EKML FORMATION & SECURITE;38408;E GESTION;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
61287;EKML FORMATION & SECURITE;72375;GAAPEX;ENT;G;01.01.2015;;;;;;;;;;;
61322;EFANSCLUBS COM;42226;FIDUCIAIRE LOEWENSBERG;ENT;G;01.10.2011;31.12.2014;;;;024 468'01'50;;;;;;
61342;AMAILLARD CH;32791;FIDUPRO;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
61396;LEMAN CONCEPT;36187;PRATEO CONSEIL;ENT;G;13.10.2011;31.12.2014;;;;;;;;;;
61396;LEMAN CONCEPT;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
61416;CONTINENTS APART;19341;SOFIDAD FIDUCIAIRE;ENT;G;18.10.2011;31.12.2014;;;;;;;;;;
61549;SOLDOUT PRODUCTIONS;9440;MOORE STEPHENS REFIDAR NYON;ETA;G;01.01.2015;;;;;;;;;;;
61571;ALTERNATIVE NIGHT MANAGEMENT;46266;GO SERVICES;ENT;G;10.11.2011;31.12.2014;;;;;;;;;;
61575;SWISS PREMIER FASHIONS;36187;PRATEO CONSEIL;ENT;G;10.11.2011;31.12.2014;;;;021 721'08'60;;;;;;
61575;SWISS PREMIER FASHIONS;64829;PRATEO;ENT;G;01.01.2015;;;;;021 721'08'60;;;;;;
61611;NLS VI TEAM;67802;SWISS KEYS MANAGEMENT;ENT;G;01.01.2015;;;;;;;;;;;
61616;SCB & ASSOCIATES;6795;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
61631;CARALEX;69199;PHINOMA FINANCE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
61685;SO MANAGEMENT;58004;DRYS FIDUCIAIRE;ENT;G;24.11.2011;31.12.2014;;;;021 343'44'70;;;;;;
61704;MONTREUX VISION;52012;MG CONSEILS;ENT;G;01.07.2013;30.06.2014;;;;078 789'03'38;;;;;;
61757;FREESIA ALBA;36187;PRATEO CONSEIL;ENT;G;08.12.2011;31.12.2014;;;;021 721'08'60;;;;;;
61757;FREESIA ALBA;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
61795;GAIA FINANCE;16746;DRP;ETA;G;01.01.2015;;;;;;;;;;;
61810;INCAL;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
61874;ECURIE THUYAS;19963;MA FIDUCIA;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
61874;ECURIE THUYAS;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
61895;Y CHATELAN;14790;MAZARS LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
61904;PILI;28127;FIDASSIST;ENT;G;01.01.2015;;;;;;;;;;;
61928;RESIDENCE HOTELIERE SOURCE;36187;PRATEO CONSEIL;ENT;G;01.01.2012;31.12.2015;;;;021 721'08'60;;;;;;
61928;RESIDENCE HOTELIERE SOURCE;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
61934;ZAZA PIZZA;2906;FIDUCIAIRE GERANCE RIDOUX;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
61952;AEROSPACE PM PARTNER;21396;RIGOLET MONTREUX;ENT;G;01.01.2015;;;;;;;;;;;
61960;DAF;2906;FIDUCIAIRE GERANCE RIDOUX;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
62015;RESIDENCE HOTELIERE BON SEJOUR;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;31.12.2015;;;;;;;;;;
62015;RESIDENCE HOTELIERE BON SEJOUR;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
62106;PSP HOLDING;36187;PRATEO CONSEIL;ENT;G;19.01.2012;31.12.2014;;;;021 721'08'60;;;;;;
62106;PSP HOLDING;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
62107;SLIDE IT;1905;FIDUCIAIRE TURRIAN;ENT;G;01.01.2012;31.12.2014;;;DC;024 496'31'71;;;;;;
62277;ZERO CORROSION;8088;FIDUCIAIRE GUY BORLOZ;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
62296;MUNCHKINS;23967;A PROPOS COMPTA;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
62317;FACILITY FINANCES;2083;FIDUROLLE;ENT;G;01.01.2015;;;;;;;;;;;
62323;SYMIA;21889;CODY CONSEILS CINDY COUTURIER;ETA;G;07.02.2012;31.12.2014;;;;;;;;;;
62336;ERNEST TZAUT & FILS;22171;FIDUCIAIRE ANDRE PHILIPONNA;ETA;G;01.01.2015;;;;;;;;;;;
62339;GARRIGUE;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2012;18.03.2014;;;;;;;;;;
62386;STRATEGY DYNAMICS GLOBAL;13;FIDUCONSULT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
62417;RR 42;69381;TDS FIDUCIAIRE;ENT;G;28.02.2012;31.12.2014;;;;;;;;;;
62468;AUTOCHERCHE SERVICES;2172;AA FIDU NYON;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
62527;POMELO BYTES;14621;FIDUCIAIRE SAUGY;ENT;G;16.03.2012;31.12.2014;;;;;;;;;;
62581;DRAKE SERVICES;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2013;31.12.2014;;;;021 345'00'00;;;;;;
62662;D PROD;17994;EUREKA SERVICES BUREAU FID;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
62662;D PROD;53968;FIDUDOM;ENT;G;01.01.2015;;;Corciulo;Olivier;024 420'25'84;;;;;;
62705;E & C  ESUS & CONSULTING;31306;ACFI FIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
62716;SM GIOVANNI CONSTRUCTIONS;2049;FIDUCIA REVISION;ENT;G;01.01.2015;;;;;;;;;;;
62804;AKKO;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
62822;ACTRAS ACTIV TRAVEL SERVICES;542284;Alex Fischer;IND;G;01.01.2015;;;;;;;;;;;
62834;ICOS TRADING;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
62864;VALEDICTORIAN GROUP;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
62887;KIOSQUE GRAND HOTEL;44370;FIDUCIA PARTNER;ENT;G;24.04.2012;31.12.2014;;;;;;;;;;
62911;GREUBONS VAUDOIS;19117;GIUSEPPE MILO FISCALITE;ETA;G;03.05.2012;31.12.2014;;;;021 881'57'41;;;;;;
62911;GREUBONS VAUDOIS;12620;FRI REVISION & INFORMATIQUE;ENT;G;01.01.2015;;;;;;;;;;;
62937;S4SERVICES;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;23.02.2012;31.12.2014;;;;022 705'15'15;;;;;;
62960;BFL ENTREPRISE GENERALE;50;FIDUCIAIRE CENTRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
63018;AQUAECOPOLE;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
63018;AQUAECOPOLE;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
63024;CAFE RESTAURANT DEBARCADERE;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
63051;NETBOATS;56419;EYEGLASS ADMINISTRATION;ENT;G;26.05.2012;31.12.2014;;;;;;;;;;
63086;SCHEUCHZER IMMOBILIER;13806;NATHALIE BACHMANN NB FIDUCIAIR;ETA;G;01.01.2013;31.12.2014;;;;079 342'69'30;;;;;;
63155;TRANSWORLDCORP;22365;AZ GESTION ALIYAH TAYFUR;ETA;G;11.06.2012;31.12.2014;;;;;;;;;;
63166;MONT BLANC FINANCE SAINT GENIS;44551;FIGEXA;ENT;G;01.01.2015;;;;;;;;;;;
63221;SCDM;7475;FIDUCIAIRE SIMPLON;ENT;G;01.01.2015;;;;;;;;;;;
63244;ULRICH & CIE;23592;SCHELLENBERG WITTMER;ETA;G;01.01.2015;;;;;;;;;;;
63265;ALPE MANAGEMENT;73423;GUGGIARI GESTION;ENT;G;01.01.2015;;;;;;;;;;;
63304;PRODELEC;42226;FIDUCIAIRE LOEWENSBERG;ENT;G;01.01.2015;;;;;;;;;;;
63350;PLAISANCE ROLLE;2637;Losmaz;ETA;G;01.01.2015;;;;;;;;;;;
63375;HOT WHEELS GARAGE;20986;CB FIDUCIAIRE CORINNE BOSSON;ETA;G;01.01.2015;;;;;;;;;;;
63377;OK JOB;7652;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
63396;CITIEFFE INTERNATIONAL;61427;GARRETT & PAZ;ENT;G;01.01.2015;;;;;;;;;;;
63403;TOMBOOKS;36187;PRATEO CONSEIL;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
63403;TOMBOOKS;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
63414;AACTS ADDICTION ACTION;3731;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2012;;;;;;;;;;;
63446;INTRACE MEDICAL;58004;DRYS FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
63460;GF HOLDING;52946;FIDAC CONSEILS;ENT;G;01.01.2014;02.07.2014;;;;;;;;;;
63496;TENTHOREY CARRELAGE;17171;MAFIDU COM VERONIQUE DELESSERT;ETA;G;01.01.2015;;;;;;;;;;;
63526;LONGCHAMP CONCEPT;46901;OFFICE CONSULTANT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
63578;IMMOVIEW;38297;DSK AUDIT;ENT;G;28.06.2012;31.12.2014;;;;021 963'50'00;;;;;;
63613;ELLINKS;71665;ACCOUNTAX;ENT;G;01.01.2015;;;;;;;;;;;
63669;PARKING REMPARTS;66611;COOP GENOSSENSCHAFT;ENT;G;25.07.2012;31.12.2014;;;;;;;;;;
63669;PARKING REMPARTS;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
63728;AGLR RESTAURATION;1905;FIDUCIAIRE TURRIAN;ENT;G;16.08.2012;31.12.2014;;;;;;;;;;
63728;AGLR RESTAURATION;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
63796;DPS MANAGEMENT;8494;ACTUA FIDUCIAIRE;ENT;G;01.02.2014;31.12.2014;;;;;;;;;;
63796;DPS MANAGEMENT;46706;SOLVENS;ENT;G;01.01.2015;;général;;;021 637'26'20;021 637'26'27;;;;;
63814;IRES CERTIFICATION INTERNATION;40335;FIDUCIAIRE BESSAUD;ENT;G;01.01.2015;;;;;;;;;;;
63852;DGV IMMOBILIER;3186;FITAG CABINET FISCAL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
63859;CAMPING PRA COLLET;12489;INTERCOMPTAS FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
63893;MECANIQUE PRIVEE;56361;FIDULEM LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
63921;FITNESS ILOT DU PARC;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;021 310'73'73;;;;;;
64055;DEMA CHAUFFAGE;24034;ADP GESTION FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
64435;GREENWISS;37962;LORALIE;ENT;G;18.10.2012;31.12.2014;;;;;;;;;;
64479;FINERGY;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2015;;;;;;;;;;;
64543;IMMOBILIER CHENE;16252;MOORE STEPHENS REFIDAR;ETA;G;11.10.2012;31.12.2014;;;;;;;;;;
64580;DONAGENCEMENT;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
64606;PABLO NORA Y MIGUEL;38481;COMPTA FISC SYNERGIE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
64644;SCCH DOMUS BUSSIGNY;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
